,label,review
2602,0,"while the film shuns the glamour or glitz that an american movie might demand , scherfig tosses us a romantic scenario that is just as simplistic as a hollywood production . "
3208,0,"there's a little violence and lots of sex in a bid to hold our attention , but it grows monotonous after a while , as do joan and philip's repetitive arguments , schemes and treachery . "
10,0,"while the performances are often engaging , this loose collection of largely improvised numbers would probably have worked better as a one-hour tv documentary . "
7763,1,fulfills the minimum requirement of disney animation . 
1783,0,"if you're a wwf fan , or you related to the people who watched the robots getting butchered in a . i . , you'll probably like rollerball . "
1336,0,friday after next is the kind of film that could only be made by african-americans because of its broad racial insensitivity towards african-americans . 
477,0,"falsehoods pile up , undermining the movie's reality and stifling its creator's comic voice . "
2590,0,"i saw knockaround guys yesterday , and already the details have faded like photographs from the spanish-american war . . . it's so unmemorable that it turned my ballpoint notes to invisible ink . "
9706,1,"bill morrison's decasia is uncompromising , difficult and unbearably beautiful . "
8708,1,a charming but slight comedy . 
10021,1,the filmmaker's heart is in the right place . . . 
10299,1,demonstrates a vivid imagination and an impressive style that result in some terrific setpieces . 
9771,1," "" frailty "" offers chills much like those that you get when sitting around a campfire around midnight , telling creepy stories to give each other the willies . and , there's no way you won't be talking about the film once you exit the theater . "
8990,1,"the asylum material is gripping , as are the scenes of jia with his family . "
4119,0,"the sum of all fears is remarkably fuddled about motives and context , which drains it of the dramatic substance that would shake us in our boots ( or cinema seats ) . "
4848,0,"this is surely one of the most frantic , virulent and foul-natured christmas season pics ever delivered by a hollywood studio . "
9519,1,"witty , vibrant , and intelligent . "
5276,0,cherish would've worked a lot better had it been a short film . 
6703,1,"the vivid lead performances sustain interest and empathy , but the journey is far more interesting than the final destination . "
4550,0,"this little film is so slovenly done , so primitive in technique , that it can't really be called animation . "
1227,0,"impostor can't think of a thing to do with these characters except have them run through dark tunnels , fight off various anonymous attackers , and evade elaborate surveillance technologies . "
2197,0,"the appeal of the vulgar , sexist , racist humour went over my head or -- considering just how low brow it is -- perhaps it snuck under my feet . "
1757,0,feels too formulaic and too familiar to produce the transgressive thrills of early underground work . 
341,0,"the setting turns out to be more interesting than any of the character dramas , which never reach satisfying conclusions . "
10446,1,"despite an overwrought ending , the film works as well as it does because of the performances . "
5070,0,feels more like a rejected x-files episode than a credible account of a puzzling real-life happening . 
10313,1,"a pointed , often tender , examination of the pros and cons of unconditional love and familial duties . "
2318,0,"for all its highfalutin title and corkscrew narrative , the movie turns out to be not much more than a shaggy human tale . "
1869,0,coughs and sputters on its own postmodern conceit . 
5448,1,"a gentle , compassionate drama about grief and healing . "
10433,1,the symbols float like butterflies and the spinning styx sting like bees . i wanted more . 
3129,0,a lifetime movie about men . 
4175,0,"like life on the island , the movie grows boring despite the scenery . "
4422,0,sweet home alabama certainly won't be remembered as one of [witherspoon's] better films . 
4512,0,"the actors pull out all the stops in nearly every scene , but to diminishing effect . the characters never change . "
5840,1,"a depressing confirmation of everything those of us who don't object to the description "" unelected "" have suspected all along : george w . bush is an incurious , uncharismatic , overgrown frat boy with a mean streak a mile wide . "
5918,1,"like dickens with his passages , mcgrath crafts quite moving scenes throughout his resolutely dramatic variation on the novel . "
7838,1,"a time machine , a journey back to your childhood , when cares melted away in the dark theater , and films had the ability to mesmerize , astonish and entertain . "
3750,0,"just consider what new best friend does not have , beginning with the minor omission of a screenplay . "
209,0,"this cloying , voices-from-the-other-side story is hell . "
9935,1,"it's sweet . it's funny . it wears its heart on the sleeve of its gaudy hawaiian shirt . and , thanks to the presence of 'the king , ' it also rocks . "
5432,1,a refreshing korean film about five female high school friends who face an uphill battle when they try to take their relationships into deeper waters . 
3027,0,the premise is overshadowed by the uberviolence of the clericks as this becomes just another kung-fu sci-fi movie with silly action sequences . 
9018,1,"it's not particularly subtle . . . however , it still manages to build to a terrifying , if obvious , conclusion . "
4997,0,"fails in making this character understandable , in getting under her skin , in exploring motivation . . . well before the end , the film grows as dull as its characters , about whose fate it is hard to care . "
5255,0, . . . in the pile of useless actioners from mtv schmucks who don't know how to tell a story for more than four minutes . 
522,0,"typical animé , with cheapo animation ( like saturday morning tv in the '60s ) , a complex sword-and-sorcery plot and characters who all have big round eyes and japanese names . "
6806,1,a solid examination of the male midlife crisis . 
9311,1,gondry's direction is adequate . . . but what gives human nature its unique feel is kaufman's script . 
6204,1,"the movie's eventual success should be credited to dennis quaid , in fighting trim shape as an athlete as well as an actor"
2856,0,uneasy mishmash of styles and genres . 
2128,0,"the charms of willful eccentricity , at least as evidenced by this latest cinematic essay , are beginning to wear a bit thin . "
2423,0,begins as a promising meditation on one of america's most durable obsessions but winds up as a slender cinematic stunt . 
8787,1,"could have been crisper and punchier , but it's likely to please audiences who like movies that demand four hankies . "
2805,0,what was subtle and mystifying in the novella is now broad and farcical . 
1017,0,the first fatal attraction was vile enough . do we really need the tiger beat version ? 
1063,0,the movie is undone by a filmmaking methodology that's just experimental enough to alienate the mainstream audience while ringing cliched to hardened indie-heads . 
3673,0,a bit too derivative to stand on its own as the psychological thriller it purports to be . 
5787,1,[villeneuve] seems to realize intuitively that even morality is reduced to an option by the ultimate mysteries of life and death . 
1977,0,"perceptive in its vision of nascent industrialized world politics as a new art form , but far too clunky , didactic and saddled with scenes that seem simply an ill fit for this movie . "
8815,1,"ultimately too repellent to fully endear itself to american art house audiences , but it is notable for its stylistic austerity and forcefulness . "
4111,0,the chocolate factory without charlie . 
6617,1,"an important movie , a reminder of the power of film to move us and to make us examine our values . "
2720,0,"a soggy , shapeless mess . . . just a dumb excuse for a waterlogged equivalent of a haunted-house movie . "
6006,1,a modest pleasure that accomplishes its goals with ease and confidence . 
3295,0,impostor is a step down for director gary fleder . 
9136,1,"koury frighteningly and honestly exposes one teenager's uncomfortable class resentment and , in turn , his self-inflicted retaliation . "
3149,0,"it's so tedious that it makes you forgive every fake , dishonest , entertaining and , ultimately , more perceptive moment in bridget jones's diary . "
2437,0,"opens as promising as any war/adventure film you'll ever see and dissolves into a routine courtroom drama , better suited for a movie titled "" glory : a soldier's story . "" "
4879,0,the plot is romantic comedy boilerplate from start to finish . 
8607,1,"you may leave the theater with more questions than answers , but darned if your toes won't still be tapping . "
5056,0,"violent , vulgar and forgettably entertaining . "
2902,0,"a morality tale whose thought-provoking potential is hampered by a made-for-tv look , rigid performances and an asinine 'twist' that brazenly rips off the sixth sense . "
22,0,"a farce of a parody of a comedy of a premise , it isn't a comparison to reality so much as it is a commentary about our knowledge of films . "
1049,0,it's hard to believe these jokers are supposed to have pulled off four similar kidnappings before . 
10391,1,"another in a long line of ultra-violent war movies , this one is not quite what it could have been as a film , but the story and theme make up for it . "
9977,1,"exhilarating , funny and fun . "
160,0,"by the time you reach the finale , you're likely wondering why you've been watching all this strutting and posturing . "
4858,0,"don michael paul uses quick-cuts , ( very ) large shadows and wide-angle shots taken from a distance to hide the liberal use of a body double ( for seagal ) . "
5284,0,queen of the damned is too long with too little going on . 
1571,0,involves two mysteries -- one it gives away and the other featuring such badly drawn characters that its outcome hardly matters . 
6214,1,"despite what anyone believes about the goal of its makers , the show . . . represents a spectacular piece of theater , and there's no denying the talent of the creative forces behind it . "
8255,1,"suspend your disbelief here and now , or you'll be shaking your head all the way to the credits . "
9760,1,"too much of storytelling moves away from solondz's social critique , casting its audience as that of intellectual lector in contemplation of the auteur's professional injuries . "
8721,1,"although some viewers will not be able to stomach so much tongue-in-cheek weirdness , those who do will have found a cult favorite to enjoy for a lifetime . "
599,0,"the drama was so uninspiring that even a story immersed in love , lust , and sin couldn't keep my attention . "
8383,1,"seeing seinfeld at home as he watches his own appearance on letterman with a clinical eye reminds you that the key to stand-up is to always make it look easy , even though the reality is anything but . "
7984,1,"murderous maids has a lot going for it , not least the brilliant performances by testud . . . and parmentier . "
2004,0,"even film silliness needs a little gravity , beyond good hair and humping . "
8550,1,an estrogen opera so intensely feminine that it serves as the antidote ( and cannier doppelganger ) to diesel's xxx flex-a-thon . 
5515,1,"one of the best , most understated performances of [jack nicholson's] career . "
4655,0,"its screenplay serves as auto-critique , and its clumsiness as its own most damning censure . "
4282,0,"has its moments , but it's pretty far from a treasure . "
3302,0,make like the title and dodge this one . 
3095,0,"it's just weirdness for the sake of weirdness , and where human nature should be ingratiating , it's just grating . "
3660,0,represents the depths to which the girls-behaving-badly film has fallen . 
9160,1,i know that i'll never listen to marvin gaye or the supremes the same way again
5311,0,"the metaphors are provocative , but too often , the viewer is left puzzled by the mechanics of the delivery . "
2935,0,the only element of suspense is whether the movie will change titles or distributors again before the closing credits roll . 
6202,1,"funny and , at times , poignant , the film from director george hickenlooper all takes place in pasadena , "" a city where people still read . "" "
3874,0,"if swimfan does catch on , it may be because teens are looking for something to make them laugh . "
323,0,"cold and scattered , minority report commands interest almost solely as an exercise in gorgeous visuals . that's not vintage spielberg and that , finally , is minimally satisfying . "
6758,1,"feature debuter d . j . caruso directs a crack ensemble cast , bringing screenwriter tony gayton's narcotics noir to life . "
8621,1,"often overwrought and at times positively irritating , the film turns into an engrossing thriller almost in spite of itself . "
2959,0,"one of those movies where you walk out of the theater not feeling cheated exactly , but feeling pandered to , which , in the end , might be all the more infuriating . "
5200,0,"some movies can get by without being funny simply by structuring the scenes as if they were jokes : a setup , delivery and payoff . stealing harvard can't even do that much . each scene immediately succumbs to gravity and plummets to earth . "
1892,0,"dragonfly has no atmosphere , no tension -- nothing but costner , flailing away . it's a buggy drag . "
4326,0,"the film has a nearly terminal case of the cutes , and it's neither as funny nor as charming as it thinks it is . "
2105,0,"yes , one enjoys seeing joan grow from awkward young woman to strong , determined monarch , but her love for the philandering philip only diminishes her stature . "
7163,1,"it's a clear-eyed portrait of an intensely lived time , filled with nervous energy , moral ambiguity and great uncertainties . "
2512,0,at the bottom rung of the series' entries . 
3551,0,"priggish , lethargically paced parable of renewal . "
6,0,not so much farcical as sour . 
616,0,"guy gets girl , guy loses girl , audience falls asleep . "
1191,0,"a fragile framework upon which to hang broad , mildly fleshed-out characters that seem to have been conjured up only 10 minutes prior to filming . "
5337,1,perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions . 
9335,1,"by surrounding us with hyper-artificiality , haynes makes us see familiar issues , like racism and homophobia , in a fresh way . "
8182,1,"that 'alabama' manages to be pleasant in spite of its predictability and occasional slowness is due primarily to the perkiness of witherspoon ( who is always a joy to watch , even when her material is not first-rate ) . . . "
532,0,"viewed as a comedy , a romance , a fairy tale , or a drama , there's nothing remotely triumphant about this motion picture . "
1530,0,"[t]here's only so much anyone can do with a florid , overplotted , anne rice rock 'n' roll vampire novel before the built-in silliness of the whole affair defeats them . "
6865,1,this remake gets all there is to get out of a peculiar premise with promise : al pacino loathing robin williams . 
6989,1,"measured against practically any like-themed film other than its oscar-sweeping franchise predecessor the silence of the lambs , red dragon rates as an exceptional thriller . "
3071,0,"it's so underwritten that you can't figure out just where the other characters , including ana's father and grandfather , come down on the issue of ana's future . "
2581,0,"a tough go , but leigh's depth and rigor , and his skill at inspiring accomplished portrayals that are all the more impressive for their lack of showiness , offsets to a notable degree the film's often-mined and despairing milieu . "
242,0,"here's my advice , kev . start reading your scripts before signing that dotted line . "
4178,0,displays the potential for a better movie than what bailly manages to deliver
839,0,"frankly , it's pretty stupid . i had more fun with ben stiller's zoolander , which i thought was rather clever . but there's plenty to offend everyone . . . "
9767,1,oliveira seems to pursue silent film representation with every mournful composition . 
42,0,"analyze that regurgitates and waters down many of the previous film's successes , with a few new swings thrown in . "
5642,1,"spielberg is the rare director who does not want to invite viewers to gawk at or applaud his special effects . he just wants them to be part of the action , the wallpaper of his chosen reality . here , thankfully , they are . "
824,0,the umpteenth summer skinny dip in jerry bruckheimer's putrid pond of retread action twaddle . 
1826,0,"if this disposable tissue has one wild card , it's john turturro , who's simply fab as a spanish butler with a foot fetish . "
8063,1,cletis is playful but highly studied and dependent for its success on a patient viewer . 
6633,1,'they' begins and ends with scenes so terrifying i'm still stunned . and i've decided to leave a light on every night from now on . 
7162,1,those who aren't put off by the film's austerity will find it more than capable of rewarding them . 
4457,0,"with all the sympathy , empathy and pity fogging up the screen . . . his secret life enters the land of unintentional melodrama and tiresome love triangles . "
5421,1,the tenderness of the piece is still intact . 
9720,1,"best indie of the year , so far . "
10527,1,"a brutal and funny work . nicole holofcenter , the insightful writer/director responsible for this illuminating comedy doesn't wrap the proceedings up neatly but the ideas tie together beautifully . "
4672,0,"there's some outrageously creative action in the transporter . . . [b]ut by the time frank parachutes down onto a moving truck , it's just another cartoon with an unstoppable superman . "
2300,0,the thrill is ( long ) gone . 
9577,1,everyone should be able to appreciate the wonderful cinematography and naturalistic acting . 
4157,0,"a road trip that will get you thinking , 'are we there yet ? '"
8043,1,"even when it drags , we are forced to reflect that its visual imagination is breathtaking"
1543,0,"it's dumb , but more importantly , it's just not scary . "
2802,0,"this may be the dumbest , sketchiest movie on record about an aspiring writer's coming-of-age . "
5072,0,"an enigmatic film that's too clever for its own good , it's a conundrum not worth solving . "
3525,0,"if the idea of the white man arriving on foreign shores to show wary natives the true light is abhorrent to you , the simplistic heaven will quite likely be more like hell . "
4646,0,check your brain and your secret agent decoder ring at the door because you don't want to think too much about what's going on . the movie does has some entertainment value - how much depends on how well you like chris rock . 
9252,1,"sweet home alabama isn't going to win any academy awards , but this date-night diversion will definitely win some hearts . "
7379,1,a three-hour cinema master class . 
2312,0,"being author wells' great-grandson , you'd think filmmaker simon wells would have more reverence for the material . but this costly dud is a far cry from either the book or the beloved film . "
1680,0,"minority report is exactly what the title indicates , a report . "
5194,0,"spectators will indeed sit open-mouthed before the screen , not screaming but yawning . "
9897,1,"sometimes charming , sometimes infuriating , this argentinean 'dramedy' succeeds mainly on the shoulders of its actors . "
8085,1,"faithful without being forceful , sad without being shrill , "" a walk to remember "" succeeds through sincerity . "
6491,1," . . . a spoof comedy that carries its share of laughs – sometimes a chuckle , sometimes a guffaw and , to my great pleasure , the occasional belly laugh . "
2811,0,"a mix of velocity and idiocy , this ruinous remake lacks the brawn -- and the brains -- of the 1970s original . "
2099,0,"it delivers some chills and sustained unease , but flounders in its quest for deeper meaning . "
3256,0,"seemingly a vehicle to showcase the canadian's inane ramblings , stealing harvard is a smorgasbord of soliloquies about nothing delivered by the former mr . drew barrymore . "
5426,1,"in a normal screen process , these bromides would be barely enough to sustain an interstitial program on the discovery channel . but in imax 3-d , the clichés disappear into the vertiginous perspectives opened up by the photography . "
9827,1,"it may scream low budget , but this charmer has a spirit that cannot be denied . "
9907,1,"for almost the first two-thirds of martin scorsese's 168-minute gangs of new york , i was entranced . "
6762,1,"director of photography benoit delhomme shot the movie in delicious colors , and the costumes and sets are grand . "
9964,1,"a vibrant , colorful , semimusical rendition . "
5369,1,"like most bond outings in recent years , some of the stunts are so outlandish that they border on being cartoonlike . a heavy reliance on cgi technology is beginning to creep into the series . "
7371,1,"an honest , sensitive story from a vietnamese point of view . "
3854,0,little more than a well-mounted history lesson . 
8947,1,"there's a spontaneity to the chateau , a sense of light-heartedness , that makes it attractive throughout . "
5540,1,at its best early on as it plays the culture clashes between the brothers . 
8889,1,"it's a fine , focused piece of work that reopens an interesting controversy and never succumbs to sensationalism . "
2761,0,"when it comes to entertainment , children deserve better than pokemon 4ever . "
1058,0,"for single digits kidlets stuart little 2 is still a no brainer . if you're looking to rekindle the magic of the first film , you'll need a stronger stomach than us . "
835,0,"a frustrating 'tweener' -- too slick , contrived and exploitative for the art houses and too cynical , small and decadent for the malls . "
3934,0,the mantra behind the project seems to have been 'it's just a kids' flick . ' translation : 'we don't need to try very hard . '
3909,0,there's something fishy about a seasonal holiday kids' movie . . . that derives its moment of most convincing emotional gravity from a scene where santa gives gifts to grownups . 
4226,0,a sentimental hybrid that could benefit from the spice of specificity . 
230,0,"if h . g . wells had a time machine and could take a look at his kin's reworked version , what would he say ? 'it looks good , sonny , but you missed the point . '"
9141,1,"this odd , poetic road movie , spiked by jolts of pop music , pretty much takes place in morton's ever-watchful gaze -- and it's a tribute to the actress , and to her inventive director , that the journey is such a mesmerizing one . "
4142,0," . . . the efforts of its star , kline , to lend some dignity to a dumb story are for naught . "
9855,1,"it may not be a huge cut of above the rest , but i enjoyed barbershop . it's a funny little movie with clever dialogue and likeable characters . "
7062,1,a brutally honest documentary about a much anticipated family reunion that goes wrong thanks to culture shock and a refusal to empathize with others . 
3246,0,"i realized that no matter how fantastic reign of fire looked , its story was making no sense at all . "
5040,0,"the exploitative , clumsily staged violence overshadows everything , including most of the actors . "
3160,0,"the plot's clearly mythic structure may owe more to disney's strong sense of formula than to the original story . but while the highly predictable narrative falls short , treasure planet is truly gorgeous to behold . "
602,0,"some body often looks like an episode of the tv show blind date , only less technically proficient and without the pop-up comments . "
3898,0,"doesn't deliver a great story , nor is the action as gripping as in past seagal films . "
9001,1,provides a satisfactory overview of the bizarre world of extreme athletes as several daredevils express their own views . 
10356,1,noyce creates a film of near-hypnotic physical beauty even as he tells a story as horrifying as any in the heart-breakingly extensive annals of white-on-black racism . 
126,0,there's nothing interesting in unfaithful whatsoever . 
5464,1,it's a great deal of sizzle and very little steak . but what spectacular sizzle it is ! . . . in this incarnation its fizz is infectious . 
2572,0,often silly – and gross – but it's rarely as moronic as some campus gross-out films . 
3622,0,"some fine acting , but ultimately a movie with no reason for being . "
4937,0,my advice is to skip the film and pick up the soundtrack . 
8076,1,"[cho's face is] an amazing slapstick instrument , creating a scrapbook of living mug shots . "
4748,0,most of the characters come off as pantomimesque sterotypes . 
10649,1,"peralta captures , in luminous interviews and amazingly evocative film from three decades ago , the essence of the dogtown experience . "
7388,1,"rarely , a movie is more than a movie . go . "
8991,1,"a bonanza of wacky sight gags , outlandish color schemes , and corny visual puns that can be appreciated equally as an abstract frank tashlin comedy and as a playful recapitulation of the artist's career . "
3479,0,"well , jason's gone to manhattan and hell , i guess a space station in the year 2455 can be crossed off the list of ideas for the inevitable future sequels ( hey , don't shoot the messenger ) . "
9039,1,"fontaine masterfully creates a portrait of two strong men in conflict , inextricably entwined through family history , each seeing himself in the other , neither liking what he sees . "
46,0,equlibrium could pass for a thirteen-year-old's book report on the totalitarian themes of 1984 and farenheit 451 . 
3605,0,"due to stodgy , soap opera-ish dialogue , the rest of the cast comes across as stick figures reading lines from a teleprompter . "
1885,0,"for all its technical virtuosity , the film is so mired in juvenile and near-xenophobic pedagogy that it's enough to make one pine for the day when godard can no longer handle the rigors of filmmaking . "
1116,0,i'm not sure these words have ever been together in the same sentence : this erotic cannibal movie is boring . 
1614,0,sometimes seems less like storytelling than something the otherwise compelling director needed to get off his chest . 
2727,0,two-bit potboiler . 
8735,1,"the hours , a delicately crafted film , is an impressive achievement in spite of a river of sadness that pours into every frame . "
4999,0,"woody , what happened ? "
3545,0,"though tom shadyac's film kicks off spookily enough , around the halfway mark it takes an abrupt turn into glucose sentimentality and laughable contrivance . "
6934,1,"one of the best silly horror movies of recent memory , with some real shocks in store for unwary viewers . "
4402,0,"it's unfortunate that wallace , who wrote gibson's braveheart as well as the recent pearl harbor , has such an irrepressible passion for sappy situations and dialogue . "
4705,0,"scotland , pa is entirely too straight-faced to transcend its clever concept . "
5156,0,the drama discloses almost nothing . 
9703,1,the banter between calvin and his fellow barbers feels like a streetwise mclaughlin group . . . and never fails to entertain . 
5710,1,there's a vastness implied in metropolis that is just breathtaking . 
8950,1,"[kline's] utterly convincing -- and deeply appealing -- as a noble teacher who embraces a strict moral code , and as a flawed human being who can't quite live up to it . "
4233,0,plays like an unbalanced mixture of graphic combat footage and almost saccharine domestic interludes that are pure hollywood . 
3205,0,the tuxedo miscalculates badly by forcing the star to play second fiddle to the dull effects that allow the suit to come to life . 
4380,0,new yorkers always seem to find the oddest places to dwell . . . 
3191,0,the concept behind kung pow : enter the fist is hilarious . it's too bad nothing else is . 
3336,0,kurys seems intimidated by both her subject matter and the period trappings of this debut venture into the heritage business . 
5924,1,"very solid , very watchable first feature for director peter sheridan"
5566,1,"the passions aroused by the discord between old and new cultures are set against the strange , stark beauty of the mideast desert , so lovingly and perceptively filmed that you can almost taste the desiccated air . "
7650,1,"if cinema had been around to capture the chaos of france in the 1790's , one imagines the result would look like something like this . "
7868,1,"the stars may be college kids , but the subject matter is as adult as you can get : the temptations of the flesh are unleashed by a slightly crazed , overtly determined young woman and a one-night swim turns into an ocean of trouble . "
8965,1,"nicole kidman evolved from star to superstar some time over the past year , which means that birthday girl is the kind of quirkily appealing minor movie she might not make for a while . "
6014,1,the movie sticks much closer to hornby's drop-dead confessional tone than the film version of high fidelity did . 
9654,1,the events of the film are just so weird that i honestly never knew what the hell was coming next . 
5063,0,"if they broke out into elaborate choreography , singing and finger snapping it might have held my attention , but as it stands i kept looking for the last exit from brooklyn . "
9850,1,read my lips is to be viewed and treasured for its extraordinary intelligence and originality as well as its lyrical variations on the game of love . 
4130,0,feels as if the inmates have actually taken over the asylum . 
2775,0,"rather quickly , the film falls into a soothing formula of brotherly conflict and reconciliation . "
7120,1,"the film sounds like the stuff of lurid melodrama , but what makes it interesting as a character study is the fact that the story is told from paul's perspective . "
3766,0,"well made but uninvolving , bloodwork isn't a terrible movie , just a stultifyingly obvious one -- an unrewarding collar for a murder mystery . "
5009,0,"behan's memoir is great material for a film -- rowdy , brawny and lyrical in the best irish sense -- but sheridan has settled for a lugubrious romance . "
8869,1,"what i saw , i enjoyed . "
7245,1,"using a stock plot , about a boy injects just enough freshness into the proceedings to provide an enjoyable 100 minutes in a movie theater . "
9273,1,wiseman reveals the victims of domestic abuse in all of their pity and terror . 
3157,0,"reign of fire never comes close to recovering from its demented premise , but it does sustain an enjoyable level of ridiculousness . "
8542,1,"it establishes its ominous mood and tension swiftly , and if the suspense never rises to a higher level , it is nevertheless maintained throughout . "
9688,1,"a worthy addition to the cinematic canon , which , at last count , numbered 52 different versions . "
6845,1,the movie understands like few others how the depth and breadth of emotional intimacy give the physical act all of its meaning and most of its pleasure . 
6107,1,"a miniscule little bleep on the film radar , but one that many more people should check out"
4401,0,an impenetrable and insufferable ball of pseudo-philosophic twaddle . 
8565,1,another entertaining romp from robert rodriguez . 
8493,1,an overly melodramatic but somewhat insightful french coming-of-age film . . . 
5412,1,"this is a startling film that gives you a fascinating , albeit depressing view of iranian rural life close to the iraqi border . "
10543,1,"i'm happy to have seen it -- not as an alternate version , but as the ultimate exercise in viewing deleted scenes . "
3085,0,"jaw-droppingly superficial , straining to get by on humor that is not even as daring as john ritter's glory days on three's company . "
6475,1,so refreshingly incisive is grant that for the first time he'll probably appeal more to guys than to their girlfriends who drag them to this movie for the hugh factor . 
4094,0,what starts off as a satisfying kids flck becomes increasingly implausible as it races through contrived plot points . 
7753,1,"inherently caustic and oddly whimsical , the film chimes in on the grieving process and strangely draws the audience into the unexplainable pain and eccentricities that are attached to the concept of loss . "
